subid,tier
29427341,8
22215881,1
26607110,6
25053388,6
24522276,5
29193999,2
27431009,4
26643651,7
23226082,4
29179630,1
22227305,4
26732619,6
22253496,1
23460141,6
22775060,8
28503670,8
25559357,7
20454153,6
21256099,1
28858100,4
24130794,2
24650128,4
21017657,2
23260223,4
25910450,2
23541299,8
25182118,6
27162764,7
26603913,4
23500724,4
29235717,6
29659108,7
21399663,4
24804243,7
22178691,8
27499752,1
21313495,7
22442593,8
26210289,4
20182015,7
23110209,4
25009985,2
20300597,2
20237049,7
20862855,7
29584592,7
28531611,6
23877651,5
26162117,5
29446071,7
20430914,6
29598055,6
22944851,3
24488898,8
22452043,8
25340682,2
23384749,1
20296237,6
25033855,7
23821338,4
22370637,7
21191517,4
20605794,6
21465034,4
20590929,1
25911280,6
23177783,7
28708239,8
29986026,1
23901628,1
22544233,7
28968566,6
22784248,6
22812382,8
24719759,5
25811097,7
25958616,1
27308397,3
22775776,8
27928068,8
28317376,1
22978227,4
29538639,7
20813120,5
26676936,2
25782493,5
20833924,8
22153957,8
27411690,2
27956153,5
28437485,8
29149991,3
23297215,8
23645261,8
25353269,1
21447376,1
28909546,1
27355326,7
28707961,2
27175353,6
22000350,7
25690160,8
29587121,1
24140804,1
28872888,4
25374677,7
28597531,7
27644119,7
26748791,8
22616887,4
24615498,1
21913224,4
27879574,8
21776186,6
27259596,4
26538600,4
25862034,8
28058754,7
21526390,6
24417864,3
27475215,1
24088309,8
24185293,2
25070113,1
27445459,8
21133084,7
24143459,5
20859679,1
27363228,8
28350948,3
26393103,4
25977717,3
26901141,8
27909942,6
24037895,6
27465987,4
25748021,8
23782744,8
24410325,6
28181774,3
25762043,7
22222445,6
21604100,1
20530779,1
28858789,8
22112189,8
28494863,1
27793593,5
27000037,1
27299283,5
23327643,2
28778798,6
22150805,5
23120166,8
25867126,8
22610236,6
28228581,8
22241591,4
29598927,7
24227760,7
21391791,4
22107440,7
21553787,4
20258476,8
21966298,6
23133266,8
29648681,7
20387707,1
25020117,2
29202732,7
25638096,6
21604700,3
27922190,3
28107226,4
24385139,1
25167749,1
24048224,5
28715251,3
25699337,1
26743346,7
24688966,5
26716700,4
23431411,8
22424607,5
26404468,7
26664620,5
27083344,7
27202216,5
21071573,7
29806909,7
24331703,8
20761830,5
28516890,8
22768112,2
29826265,3
24389971,1
26971711,4
22232997,2
29398198,8
20480305,7
20991329,7
25954478,8
22342185,7
29851468,7
29631472,6
27880421,7
20000009,3
25879349,8
21996231,7
28547249,2
21951641,4
27669056,6
22440761,4
24900734,1
24086118,1
20877661,4
23024984,4
29687654,8
29711452,1
25781824,5
27266888,3
23672869,2
28533399,8
27311514,7
29454115,1
21832257,4
23234795,7
25264954,8
24800194,2
22364262,1
29780266,8
25311685,6
22511648,8
29429937,2
28849602,8
23541651,4
21081410,3
24334535,3
27211375,6
29313548,6
24033182,3
27736248,7
23754949,8
24238158,2
24829598,7
28484858,6
27889082,8
29930152,6
28744606,8
23153816,8
24902142,8
24620460,8
23816904,4
27114162,8
26655425,2
24567145,1
28524926,1
26596791,4
27673491,6
21401607,1
25938910,1
23069511,6
20833236,7
25641419,1
25603160,2
20995276,5
21996439,8
28601004,6
22861390,3
25795019,8
29932940,8
28346880,1
20074595,7
24767850,4
